player,season,week,date,g,gs,passing_comp,passing_att,passing_pct,passing_yds,passing_avg,passing_td,passing_int,passing_sck,passing_scky,passing_rate,rushing_att,rushing_yds,rushing_avg,rushing_td,fumbles,fumbles_lost
3,2014,1,09/07,0,0,,,,,,,,,,0,,,,,,
3,2014,2,09/14,0,0,,,,,,,,,,0,,,,,,
3,2014,3,09/21,1,0,14,24,58.3,223,9.3,2,2,1,6,82.5,2,30,15,0,,
3,2014,4,09/28,1,1,29,37,78.4,254,6.9,1,2,3,19,81.8,5,24,4.8,0,,
3,2014,5,10/05,1,1,22,36,61.1,191,5.3,0,2,1,4,52,4,14,3.5,0,2,0
3,2014,6,10/12,1,1,32,46,69.6,336,7.3,1,1,6,39,88.7,5,38,7.6,0,,
3,2014,7,10/19,1,1,17,31,54.8,159,5.1,1,3,2,8,40.3,5,37,7.4,0,,
3,2014,8,10/26,1,1,18,34,52.9,221,6.5,1,2,4,20,58.6,6,48,8,0,1,1
3,2014,9,11/02,1,1,22,33,66.7,247,7.5,2,1,2,14,96.4,4,10,2.5,0,,
3,2014,10,11/09,1,1,22,37,59.5,290,7.8,0,1,4,28,73,3,3,1,0,1,0
3,2014,11,Bye,,,,,,,,,,,,0,,,,,,
3,2014,12,11/23,1,1,15,27,55.6,146,5.4,0,1,4,32,55.5,5,24,4.8,0,1,0
3,2014,13,11/30,1,1,21,35,60,194,5.5,1,0,7,54,84.7,5,68,13.6,0,,
3,2014,14,12/07,1,1,20,39,51.3,205,5.3,1,1,4,17,64.6,3,10,3.3,0,,
3,2014,15,12/14,1,1,21,37,56.8,210,5.7,0,1,8,63,61.8,1,2,2,0,,
3,2014,16,12/18,1,1,13,26,50,115,4.4,1,0,4,13,75,5,50,10,0,1,0
3,2014,17,12/28,1,1,14,33,42.4,117,3.5,0,0,5,28,52.2,3,61,20.3,0,1,0
4,2012,1,09/09,1,1,23,45,51.1,309,6.9,1,3,3,16,52.9,2,9,4.5,0,1,1
4,2012,2,09/16,1,1,20,31,64.5,224,7.2,2,0,2,30,107.5,4,21,5.3,0,,
4,2012,3,09/23,1,1,22,46,47.8,313,6.8,2,1,0,0,75.7,4,50,12.5,0,,
4,2012,4,Bye,,,,,,,,,,,,0,,,,,,
4,2012,5,10/07,1,1,31,55,56.4,362,6.6,2,1,4,17,81,6,24,4,1,1,0
4,2012,6,10/14,1,1,22,44,50,280,6.4,0,2,4,23,51.3,1,-1,-1,0,1,1
4,2012,7,10/21,1,1,16,29,55.2,186,6.4,0,0,3,13,74.8,3,12,4,2,1,1
4,2012,8,10/28,1,1,26,38,68.4,297,7.8,1,1,2,11,89.5,6,28,4.7,0,1,0
4,2012,9,11/04,1,1,30,48,62.5,433,9,2,0,1,14,105.6,1,5,5,0,1,0
4,2012,10,11/08,1,1,18,26,69.2,227,8.7,0,1,2,6,80.1,7,11,1.6,2,1,1
